"person_uri","organisation_uri","organisation_label","relationship"
http://www.wikidata.org/entity/Q100417813,http://www.wikidata.org/entity/Q734764,University of New South Wales,employment
http://www.wikidata.org/entity/Q100417813,http://www.wikidata.org/entity/Q782600,Linköping University,employment
http://www.wikidata.org/entity/Q100417813,http://www.wikidata.org/entity/Q99284855,University of New South Wales - Randwick Campus,employment
http://www.wikidata.org/entity/Q100429076,http://www.wikidata.org/entity/Q1075104,University of Essex,education
http://www.wikidata.org/entity/Q100429076,http://www.wikidata.org/entity/Q3244049,University of Southern Maine,employment
http://www.wikidata.org/entity/Q100429076,http://www.wikidata.org/entity/Q458393,Durham University,education
http://www.wikidata.org/entity/Q100491140,http://www.wikidata.org/entity/Q1516684,University of Kent,employment
http://www.wikidata.org/entity/Q100491140,http://www.wikidata.org/entity/Q160302,University of Edinburgh,education
http://www.wikidata.org/entity/Q100491140,http://www.wikidata.org/entity/Q39988,Yonsei University,education
http://www.wikidata.org/entity/Q100491140,http://www.wikidata.org/entity/Q61666874,Tilburg School of Social and Behavioral Sciences,employment
http://www.wikidata.org/entity/Q100501676,http://www.wikidata.org/entity/Q15575,Flinders University,employment
http://www.wikidata.org/entity/Q100501676,http://www.wikidata.org/entity/Q49206,University of Connecticut,education
http://www.wikidata.org/entity/Q100516234,http://www.wikidata.org/entity/Q1478723,La Trobe University,employment
http://www.wikidata.org/entity/Q100516234,http://www.wikidata.org/entity/Q459506,University of Bristol,education
http://www.wikidata.org/entity/Q100516234,http://www.wikidata.org/entity/Q487556,University of Sydney,education
http://www.wikidata.org/entity/Q100516234,http://www.wikidata.org/entity/Q598841,Monash University,employment
http://www.wikidata.org/entity/Q100516234,http://www.wikidata.org/entity/Q741082,Macquarie University,education
http://www.wikidata.org/entity/Q100516234,http://www.wikidata.org/entity/Q781371,Australian Catholic University,employment
http://www.wikidata.org/entity/Q100516234,http://www.wikidata.org/entity/Q837164,Newcastle University,education
http://www.wikidata.org/entity/Q100550045,http://www.wikidata.org/entity/Q1575320,Pontifical Academy of Social Sciences,membership
http://www.wikidata.org/entity/Q100550045,http://www.wikidata.org/entity/Q1816069,University of Benin,education
http://www.wikidata.org/entity/Q100550045,http://www.wikidata.org/entity/Q1816069,University of Benin,employment
http://www.wikidata.org/entity/Q100590721,http://www.wikidata.org/entity/Q366071,University of Zielona Góra,employment
http://www.wikidata.org/entity/Q100590722,http://www.wikidata.org/entity/Q8040714,Legnica University of Management,employment
http://www.wikidata.org/entity/Q100590845,http://www.wikidata.org/entity/Q144488,University of Warsaw,education
http://www.wikidata.org/entity/Q100591628,http://www.wikidata.org/entity/Q175529,John Paul II Catholic University of Lublin,education
http://www.wikidata.org/entity/Q100591628,http://www.wikidata.org/entity/Q175529,John Paul II Catholic University of Lublin,employment
http://www.wikidata.org/entity/Q100605021,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q100605042,http://www.wikidata.org/entity/Q392189,Université de Montréal,education
http://www.wikidata.org/entity/Q100605042,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q100605172,http://www.wikidata.org/entity/Q326282,Université du Québec,education
http://www.wikidata.org/entity/Q100605172,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q100605288,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q100605311,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q100605346,http://www.wikidata.org/entity/Q1067935,Laval University,education
http://www.wikidata.org/entity/Q100605346,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q100605373,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q100605425,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q100605435,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q100605453,http://www.wikidata.org/entity/Q149990,University of Rochester,education
http://www.wikidata.org/entity/Q100605453,http://www.wikidata.org/entity/Q201492,McGill University,education
http://www.wikidata.org/entity/Q100605453,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q100605468,http://www.wikidata.org/entity/Q3146771,"INRS-Urbanisation, culture et société",employment
http://www.wikidata.org/entity/Q100605468,http://www.wikidata.org/entity/Q392189,Université de Montréal,education
http://www.wikidata.org/entity/Q100605488,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q100642,http://www.wikidata.org/entity/Q153006,Freie Universität Berlin,employment
http://www.wikidata.org/entity/Q100681093,http://www.wikidata.org/entity/Q280413,National Center for Scientific Research,employment
http://www.wikidata.org/entity/Q100681093,http://www.wikidata.org/entity/Q859363,Sciences Po,education
http://www.wikidata.org/entity/Q100685397,http://www.wikidata.org/entity/Q1067935,Laval University,education
http://www.wikidata.org/entity/Q100685397,http://www.wikidata.org/entity/Q1067935,Laval University,employment
http://www.wikidata.org/entity/Q100685397,http://www.wikidata.org/entity/Q273518,School for Advanced Studies in the Social Sciences,education
http://www.wikidata.org/entity/Q100699680,http://www.wikidata.org/entity/Q12410320,Municipality of Haifa,employment
http://www.wikidata.org/entity/Q100733595,http://www.wikidata.org/entity/Q13371,Harvard University,education
http://www.wikidata.org/entity/Q100733595,http://www.wikidata.org/entity/Q168756,"University of California, Berkeley",education
http://www.wikidata.org/entity/Q100733595,http://www.wikidata.org/entity/Q219563,University of Washington,employment
http://www.wikidata.org/entity/Q100747032,http://www.wikidata.org/entity/Q1546159,Mälardalen University,employment
http://www.wikidata.org/entity/Q100747032,http://www.wikidata.org/entity/Q185246,Uppsala University,education
http://www.wikidata.org/entity/Q100772883,http://www.wikidata.org/entity/Q958650,Universidad de Málaga,employment
http://www.wikidata.org/entity/Q100793,http://www.wikidata.org/entity/Q153006,Freie Universität Berlin,employment
http://www.wikidata.org/entity/Q100877300,http://www.wikidata.org/entity/Q1075339,Ohio University,employment
http://www.wikidata.org/entity/Q100877300,http://www.wikidata.org/entity/Q1305521,University of South Dakota,employment
http://www.wikidata.org/entity/Q100877300,http://www.wikidata.org/entity/Q131252,University of Chicago,education
http://www.wikidata.org/entity/Q100877300,http://www.wikidata.org/entity/Q16955,Tsinghua University,education
http://www.wikidata.org/entity/Q100877300,http://www.wikidata.org/entity/Q2092392,University of Dayton,employment
http://www.wikidata.org/entity/Q100877300,http://www.wikidata.org/entity/Q519556,National Southwestern Associated University,employment
http://www.wikidata.org/entity/Q100877300,http://www.wikidata.org/entity/Q635118,Southeast Missouri State University,employment
http://www.wikidata.org/entity/Q100877300,http://www.wikidata.org/entity/Q766145,University of Oregon,employment
http://www.wikidata.org/entity/Q100877300,http://www.wikidata.org/entity/Q777403,Washington University in St. Louis,employment
http://www.wikidata.org/entity/Q100877300,http://www.wikidata.org/entity/Q838330,University of Wisconsin–Madison,education
http://www.wikidata.org/entity/Q100899798,http://www.wikidata.org/entity/Q1495708,Institute of Economic and Social Research (WSI),employment
http://www.wikidata.org/entity/Q100899798,http://www.wikidata.org/entity/Q15805617,DZHW - German Centre for Higher Education Research and Science Studies,employment
http://www.wikidata.org/entity/Q100899798,http://www.wikidata.org/entity/Q1690643,Soziologisches Forschungsinstitut Göttingen,employment
http://www.wikidata.org/entity/Q100899798,http://www.wikidata.org/entity/Q500692,University of Bremen,education
http://www.wikidata.org/entity/Q100899798,http://www.wikidata.org/entity/Q679134,University of Paderborn,employment
http://www.wikidata.org/entity/Q100899798,http://www.wikidata.org/entity/Q795968,BIGSSS,education
http://www.wikidata.org/entity/Q100906420,http://www.wikidata.org/entity/Q270222,Michigan State University,education
http://www.wikidata.org/entity/Q100913229,http://www.wikidata.org/entity/Q152171,University of Bonn,employment
http://www.wikidata.org/entity/Q100913229,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",employment
http://www.wikidata.org/entity/Q100913229,http://www.wikidata.org/entity/Q21578,Princeton University,employment
http://www.wikidata.org/entity/Q100913229,http://www.wikidata.org/entity/Q49088,Columbia University,employment
http://www.wikidata.org/entity/Q100954769,http://www.wikidata.org/entity/Q13371,Harvard University,education
http://www.wikidata.org/entity/Q100954769,http://www.wikidata.org/entity/Q219563,University of Washington,employment
http://www.wikidata.org/entity/Q100968226,http://www.wikidata.org/entity/Q1155944,Paris Descartes University,education
http://www.wikidata.org/entity/Q100968226,http://www.wikidata.org/entity/Q81724418,Association française de sciences sociales des religions,membership
http://www.wikidata.org/entity/Q100977310,http://www.wikidata.org/entity/Q131252,University of Chicago,education
http://www.wikidata.org/entity/Q100977310,http://www.wikidata.org/entity/Q487556,University of Sydney,education
http://www.wikidata.org/entity/Q100981928,http://www.wikidata.org/entity/Q1940803,Mid Sweden University,employment
http://www.wikidata.org/entity/Q100987652,http://www.wikidata.org/entity/Q129421,"University of California, Davis",education
http://www.wikidata.org/entity/Q100987652,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",employment
http://www.wikidata.org/entity/Q100987652,http://www.wikidata.org/entity/Q4614,University of Southern California,education
http://www.wikidata.org/entity/Q100987652,http://www.wikidata.org/entity/Q503419,University of Arizona,employment
http://www.wikidata.org/entity/Q100987652,http://www.wikidata.org/entity/Q52413,University of Kansas,employment
http://www.wikidata.org/entity/Q101007799,http://www.wikidata.org/entity/Q1394262,Paris Nanterre University,education
http://www.wikidata.org/entity/Q101007799,http://www.wikidata.org/entity/Q3128457,High Council for Gender Equality,membership
http://www.wikidata.org/entity/Q101048388,http://www.wikidata.org/entity/Q1067935,Laval University,employment
http://www.wikidata.org/entity/Q101048388,http://www.wikidata.org/entity/Q131252,University of Chicago,education
http://www.wikidata.org/entity/Q101048388,http://www.wikidata.org/entity/Q1394262,Paris Nanterre University,education
http://www.wikidata.org/entity/Q101048388,http://www.wikidata.org/entity/Q392189,Université de Montréal,education
http://www.wikidata.org/entity/Q101048388,http://www.wikidata.org/entity/Q392189,Université de Montréal,employment
http://www.wikidata.org/entity/Q101048388,http://www.wikidata.org/entity/Q571293,Sorbonne Nouvelle-Paris 3,education
http://www.wikidata.org/entity/Q101052944,http://www.wikidata.org/entity/Q1067935,Laval University,education
http://www.wikidata.org/entity/Q101052944,http://www.wikidata.org/entity/Q1067935,Laval University,employment
http://www.wikidata.org/entity/Q101064596,http://www.wikidata.org/entity/Q165980,University of Vienna,education
http://www.wikidata.org/entity/Q101064800,http://www.wikidata.org/entity/Q165980,University of Vienna,education
http://www.wikidata.org/entity/Q101102856,http://www.wikidata.org/entity/Q161982,Johannes Gutenberg University Mainz,employment
http://www.wikidata.org/entity/Q101102856,http://www.wikidata.org/entity/Q36188,University of Fribourg,employment
http://www.wikidata.org/entity/Q101102856,http://www.wikidata.org/entity/Q702499,Osnabrück University,employment
http://www.wikidata.org/entity/Q101149176,http://www.wikidata.org/entity/Q12236035,Faculty of Human and Social Sciences of Tunis,education
http://www.wikidata.org/entity/Q101149176,http://www.wikidata.org/entity/Q3551686,Tunis University,employment
http://www.wikidata.org/entity/Q101175344,http://www.wikidata.org/entity/Q131252,University of Chicago,education
http://www.wikidata.org/entity/Q101235,http://www.wikidata.org/entity/Q1509323,Saxon Police Force School,employment
http://www.wikidata.org/entity/Q101235,http://www.wikidata.org/entity/Q154561,Friedrich Schiller University Jena,employment
http://www.wikidata.org/entity/Q101235,http://www.wikidata.org/entity/Q422614,Aktionsgruppe Banat,membership
http://www.wikidata.org/entity/Q101235,http://www.wikidata.org/entity/Q530991,Helmut Schmidt University,employment
http://www.wikidata.org/entity/Q101235,http://www.wikidata.org/entity/Q66317896,Liceul teoretic Sânnicolau Mare,education
http://www.wikidata.org/entity/Q101235,http://www.wikidata.org/entity/Q702524,University of Erfurt,employment
http://www.wikidata.org/entity/Q101236098,http://www.wikidata.org/entity/Q10274592,Escola de Comunicações e Artes da Universidade de São Paulo,employment
http://www.wikidata.org/entity/Q101236098,http://www.wikidata.org/entity/Q209344,Sapienza University of Rome,education
http://www.wikidata.org/entity/Q101236098,http://www.wikidata.org/entity/Q209842,University of Paris,education
http://www.wikidata.org/entity/Q101236098,http://www.wikidata.org/entity/Q835960,University of São Paulo,education
http://www.wikidata.org/entity/Q101236098,http://www.wikidata.org/entity/Q835960,University of São Paulo,employment
http://www.wikidata.org/entity/Q101242607,http://www.wikidata.org/entity/Q10274592,Escola de Comunicações e Artes da Universidade de São Paulo,employment
http://www.wikidata.org/entity/Q101242607,http://www.wikidata.org/entity/Q170027,University of London,education
http://www.wikidata.org/entity/Q101242607,http://www.wikidata.org/entity/Q1815994,Pontifícia Universidade Católica de São Paulo,education
http://www.wikidata.org/entity/Q101242607,http://www.wikidata.org/entity/Q835960,University of São Paulo,education
http://www.wikidata.org/entity/Q101242607,http://www.wikidata.org/entity/Q835960,University of São Paulo,employment
http://www.wikidata.org/entity/Q101246978,http://www.wikidata.org/entity/Q1067935,Laval University,employment
http://www.wikidata.org/entity/Q101246978,http://www.wikidata.org/entity/Q222738,National Autonomous University of Mexico,education
http://www.wikidata.org/entity/Q101246978,http://www.wikidata.org/entity/Q235034,University of Pittsburgh,education
http://www.wikidata.org/entity/Q101246978,http://www.wikidata.org/entity/Q30641801,University of Port-au-Prince,education
http://www.wikidata.org/entity/Q101349,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,employment
http://www.wikidata.org/entity/Q101349,http://www.wikidata.org/entity/Q20266330,Frederick William University Berlin,employment
http://www.wikidata.org/entity/Q101423194,http://www.wikidata.org/entity/Q29790205,Philological Section of the Institute for Catalan Studies,membership
http://www.wikidata.org/entity/Q101440467,http://www.wikidata.org/entity/Q1141586,University Lille-III,employment
http://www.wikidata.org/entity/Q101440467,http://www.wikidata.org/entity/Q1665127,Institut Universitaire de France,membership
http://www.wikidata.org/entity/Q101440467,http://www.wikidata.org/entity/Q193727,Johns Hopkins University,education
http://www.wikidata.org/entity/Q101440467,http://www.wikidata.org/entity/Q2985603,Comité national pour la mémoire et l'histoire de l'esclavage,membership
http://www.wikidata.org/entity/Q101440467,http://www.wikidata.org/entity/Q49088,Columbia University,education
http://www.wikidata.org/entity/Q101440467,http://www.wikidata.org/entity/Q859363,Sciences Po,education
http://www.wikidata.org/entity/Q101497865,http://www.wikidata.org/entity/Q1067935,Laval University,employment
http://www.wikidata.org/entity/Q101538600,http://www.wikidata.org/entity/Q1067935,Laval University,education
http://www.wikidata.org/entity/Q101538600,http://www.wikidata.org/entity/Q1067935,Laval University,employment
http://www.wikidata.org/entity/Q101538600,http://www.wikidata.org/entity/Q1155944,Paris Descartes University,education
http://www.wikidata.org/entity/Q101538600,http://www.wikidata.org/entity/Q273631,École pratique des hautes études,education
http://www.wikidata.org/entity/Q101561244,http://www.wikidata.org/entity/Q1587855,École des hautes études en santé publique,employment
http://www.wikidata.org/entity/Q1016356,http://www.wikidata.org/entity/Q55044,Ludwig-Maximilians-Universität München,employment
http://www.wikidata.org/entity/Q1016499,http://www.wikidata.org/entity/Q168426,University of Münster,education
http://www.wikidata.org/entity/Q1016499,http://www.wikidata.org/entity/Q320642,North Rhine-Westphalia Academy for Sciences and Arts,membership
http://www.wikidata.org/entity/Q101691603,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",education
http://www.wikidata.org/entity/Q101691603,http://www.wikidata.org/entity/Q2890642,Beit Berl College,employment
http://www.wikidata.org/entity/Q101691603,http://www.wikidata.org/entity/Q319239,Tel Aviv University,education
http://www.wikidata.org/entity/Q101842,http://www.wikidata.org/entity/Q153978,University of Tübingen,education
http://www.wikidata.org/entity/Q101842,http://www.wikidata.org/entity/Q168426,University of Münster,employment
http://www.wikidata.org/entity/Q101842,http://www.wikidata.org/entity/Q2043519,PEN Germany,membership
http://www.wikidata.org/entity/Q101850967,http://www.wikidata.org/entity/Q209344,Sapienza University of Rome,education
http://www.wikidata.org/entity/Q101850967,http://www.wikidata.org/entity/Q209344,Sapienza University of Rome,employment
http://www.wikidata.org/entity/Q101856469,http://www.wikidata.org/entity/Q574606,Université libre de Bruxelles,education
http://www.wikidata.org/entity/Q101988,http://www.wikidata.org/entity/Q131252,University of Chicago,employment
http://www.wikidata.org/entity/Q101988,http://www.wikidata.org/entity/Q153987,University of Freiburg,education
http://www.wikidata.org/entity/Q101988,http://www.wikidata.org/entity/Q500692,University of Bremen,employment
http://www.wikidata.org/entity/Q102029577,http://www.wikidata.org/entity/Q2778441,Beirut Arab University,education
http://www.wikidata.org/entity/Q102029577,http://www.wikidata.org/entity/Q322964,Moscow State Institute of International Relations,education
http://www.wikidata.org/entity/Q102029577,http://www.wikidata.org/entity/Q5279909,Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation,education
http://www.wikidata.org/entity/Q102077647,http://www.wikidata.org/entity/Q9380917,Wyższe Seminarium Duchowne w Sandomierzu,education
http://www.wikidata.org/entity/Q102077797,http://www.wikidata.org/entity/Q131252,University of Chicago,education
http://www.wikidata.org/entity/Q102077797,http://www.wikidata.org/entity/Q131252,University of Chicago,employment
http://www.wikidata.org/entity/Q102077797,http://www.wikidata.org/entity/Q4614,University of Southern California,employment
http://www.wikidata.org/entity/Q102086,http://www.wikidata.org/entity/Q1226540,German News Information Services GmbH,membership
http://www.wikidata.org/entity/Q102086,http://www.wikidata.org/entity/Q161976,University of Würzburg,education
http://www.wikidata.org/entity/Q102086,http://www.wikidata.org/entity/Q2349243,Stiftung für Sozialgeschichte des 20. Jahrhunderts,membership
http://www.wikidata.org/entity/Q102086,http://www.wikidata.org/entity/Q54096,University of Cologne,education
http://www.wikidata.org/entity/Q102086,http://www.wikidata.org/entity/Q558439,Sozialistischer Deutscher Studentenbund,membership
http://www.wikidata.org/entity/Q102104647,http://www.wikidata.org/entity/Q1572657,INCAE,education
http://www.wikidata.org/entity/Q102106,http://www.wikidata.org/entity/Q299015,Austrian Academy of Sciences,membership
http://www.wikidata.org/entity/Q102109299,http://www.wikidata.org/entity/Q1544881,University of Tampere,education
http://www.wikidata.org/entity/Q102109299,http://www.wikidata.org/entity/Q170027,University of London,education
http://www.wikidata.org/entity/Q102130613,http://www.wikidata.org/entity/Q168000,American University,education
http://www.wikidata.org/entity/Q102130613,http://www.wikidata.org/entity/Q2867332,American Association for Public Opinion Research,membership
http://www.wikidata.org/entity/Q102130613,http://www.wikidata.org/entity/Q432637,George Washington University,employment
http://www.wikidata.org/entity/Q102130613,http://www.wikidata.org/entity/Q49210,New York University,education
http://www.wikidata.org/entity/Q102181,http://www.wikidata.org/entity/Q1378099,European University Institute,education
http://www.wikidata.org/entity/Q102181,http://www.wikidata.org/entity/Q317070,University of Mannheim,employment
http://www.wikidata.org/entity/Q102181,http://www.wikidata.org/entity/Q34433,University of Oxford,employment
http://www.wikidata.org/entity/Q102209447,http://www.wikidata.org/entity/Q2002043,University of Alaska System,employment
http://www.wikidata.org/entity/Q102209447,http://www.wikidata.org/entity/Q201603,Simon Fraser University,employment
http://www.wikidata.org/entity/Q102209447,http://www.wikidata.org/entity/Q467040,American Statistical Association,membership
http://www.wikidata.org/entity/Q102209447,http://www.wikidata.org/entity/Q492467,University of Auckland,employment
http://www.wikidata.org/entity/Q102209447,http://www.wikidata.org/entity/Q739627,Pennsylvania State University,employment
http://www.wikidata.org/entity/Q102209447,http://www.wikidata.org/entity/Q861888,Oregon State University,education
http://www.wikidata.org/entity/Q102216,http://www.wikidata.org/entity/Q152838,University of Göttingen,education
http://www.wikidata.org/entity/Q102221913,http://www.wikidata.org/entity/Q270222,Michigan State University,education
http://www.wikidata.org/entity/Q102237643,http://www.wikidata.org/entity/Q11942,ETH Zurich,education
http://www.wikidata.org/entity/Q102238481,http://www.wikidata.org/entity/Q152838,University of Göttingen,education
http://www.wikidata.org/entity/Q1022431,http://www.wikidata.org/entity/Q54096,University of Cologne,employment
http://www.wikidata.org/entity/Q102243305,http://www.wikidata.org/entity/Q633561,University of Zaragoza,employment
http://www.wikidata.org/entity/Q102246720,http://www.wikidata.org/entity/Q1152190,Ritsumeikan University,education
http://www.wikidata.org/entity/Q102246720,http://www.wikidata.org/entity/Q4696570,Aichi Gakuin University,employment
http://www.wikidata.org/entity/Q102246720,http://www.wikidata.org/entity/Q49117,University of Pennsylvania,education
http://www.wikidata.org/entity/Q102261070,http://www.wikidata.org/entity/Q221653,Utrecht University,education
http://www.wikidata.org/entity/Q102261070,http://www.wikidata.org/entity/Q543804,German Academy of Sciences Leopoldina,membership
http://www.wikidata.org/entity/Q102277,http://www.wikidata.org/entity/Q156725,University of Hamburg,education
http://www.wikidata.org/entity/Q102326141,http://www.wikidata.org/entity/Q10159,École Normale Supérieure de Lyon,education
http://www.wikidata.org/entity/Q102326141,http://www.wikidata.org/entity/Q1394262,Paris Nanterre University,education
http://www.wikidata.org/entity/Q102326141,http://www.wikidata.org/entity/Q1896148,University of Greenwich,employment
http://www.wikidata.org/entity/Q102326141,http://www.wikidata.org/entity/Q280413,National Center for Scientific Research,employment
http://www.wikidata.org/entity/Q102326141,http://www.wikidata.org/entity/Q50662,Goethe University Frankfurt,education
http://www.wikidata.org/entity/Q102326141,http://www.wikidata.org/entity/Q74452784,CY Cergy Paris University,employment
http://www.wikidata.org/entity/Q102326141,http://www.wikidata.org/entity/Q859363,Sciences Po,education
http://www.wikidata.org/entity/Q102326141,http://www.wikidata.org/entity/Q959524,Bocconi University,education
http://www.wikidata.org/entity/Q102341342,http://www.wikidata.org/entity/Q200601,Pontifical Catholic University of Peru,education
http://www.wikidata.org/entity/Q102355281,http://www.wikidata.org/entity/Q696757,University of Duisburg-Essen,education
http://www.wikidata.org/entity/Q102367218,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",education
http://www.wikidata.org/entity/Q102367218,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",employment
http://www.wikidata.org/entity/Q102367218,http://www.wikidata.org/entity/Q49117,University of Pennsylvania,employment
http://www.wikidata.org/entity/Q102367218,http://www.wikidata.org/entity/Q842909,Rice University,education
http://www.wikidata.org/entity/Q102380797,http://www.wikidata.org/entity/Q1567748,Union College,education
http://www.wikidata.org/entity/Q102380797,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",employment
http://www.wikidata.org/entity/Q102380797,http://www.wikidata.org/entity/Q21578,Princeton University,employment
http://www.wikidata.org/entity/Q102380797,http://www.wikidata.org/entity/Q49115,Cornell University,education
http://www.wikidata.org/entity/Q102380797,http://www.wikidata.org/entity/Q861141,RAND Corporation,employment
http://www.wikidata.org/entity/Q102410701,http://www.wikidata.org/entity/Q1205755,German Youth Institute,employment
http://www.wikidata.org/entity/Q102410701,http://www.wikidata.org/entity/Q153978,University of Tübingen,education
http://www.wikidata.org/entity/Q102434,http://www.wikidata.org/entity/Q152838,University of Göttingen,employment
http://www.wikidata.org/entity/Q102434,http://www.wikidata.org/entity/Q372608,University of Basel,employment
http://www.wikidata.org/entity/Q102434,http://www.wikidata.org/entity/Q678982,Leibniz University Hannover,employment
http://www.wikidata.org/entity/Q102440440,http://www.wikidata.org/entity/Q34433,University of Oxford,employment
http://www.wikidata.org/entity/Q102440440,http://www.wikidata.org/entity/Q528231,"Goldsmiths, University of London",employment
http://www.wikidata.org/entity/Q102476,http://www.wikidata.org/entity/Q702499,Osnabrück University,employment
http://www.wikidata.org/entity/Q102495,http://www.wikidata.org/entity/Q165980,University of Vienna,education
